Activity Date,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
"21 Jan 2017, 20:41:57",1384,1273,3005,4.199999809265137,,44.12919998168945,,26,60,34.20000076293945,0.00665557
"30 Mar 2017, 20:07:45",1464,1278,3173.800048828125,4,,0,,28,37,8.399999618530273,-0.00945239
"2 Apr 2017, 19:49:22",1241,1237,3063.199951171875,5.5,,19.70829963684082,,26,46,35.599998474121094,0
"14 Apr 2017, 16:50:05",164,164,512.4000244140625,4.5,,0,,11.800000190734863,14,3.4000000953674316,-0.039032001
"1 May 2017, 12:34:18",1168,1168,3071.100098,5.599999904632568,,0,,10.300000190734863,14.399999618530273,3.700000047683716,-0.029305501
"7 May 2017, 11:02:49",3707,3662,8633.900391,4.400000095367432,,18.733299255371094,,8.600000381469727,31,12.899999618530273,-0.100766003
"21 May 2017, 07:31:33",1103,735,2047.5,4.199999809265137,,0,,10.300000190734863,14.199999809265137,7.800000190734863,0.039071999
"20 Jun 2017, 07:00:49",1344,1118,2725.100098,3.700000047683716,,6.993080139160156,,10.300000190734863,14.199999809265137,4.099999904632568,0
"4 Jul 2017, 13:30:53",360,360,1000,,,,,,,,0
"8 Jul 2017, 18:46:08",360,360,1000,,,,,,,,0
"9 Jul 2017, 11:43:10",360,360,1000,,,,,,,,0
"23 Jul 2017, 18:27:34",360,360,1000,,,,,,,,0
"6 Mar 2018, 16:34:07",1329,1311,3001.699951171875,4.5,,19.328296661376953,,26,41.099998474121094,25.399999618530273,0
"10 Apr 2018, 19:50:11",2426,2401,5489.299805,3.4000000953674316,,15.267382621765137,,10.899999618530273,14.199999809265137,8.899999618530273,0.010930356
"13 Apr 2018, 07:19:24",1536,1316,3007.699951171875,3.200000047683716,,23.505769729614258,,10,27.399999618530273,19.899999618530273,0.3989759683609009
"25 Apr 2018, 17:48:49",1320,1320,3000,,,,,,,,0
"30 Apr 2018, 18:18:49",2489,2295,5108.799805,7.5,,28.615781784057617,,25,41.20000076293945,18.200000762939453,-0.223144382
"9 May 2018, 19:26:30",1894,1804,4121.299805,3.9000000953674316,,23.007226943969727,,24.399999618530273,41.5,13.300000190734863,-0.281464577
"10 May 2018, 19:12:58",2848,2740,6038.399902,6.900000095367432,,17.547344207763672,,24.399999618530273,41,16.299999237060547,-0.183823526
"13 May 2018, 19:34:25",1280,1215,3014.899902,3.799999952316284,,13.065909385681152,,26,41.29999923706055,11.800000190734863,-0.381438851
"14 May 2018, 18:53:54",1731,1677,4065,3.700000047683716,,25.828670501708984,,25.399999618530273,41.099998474121094,12.5,-0.277982771
"16 May 2018, 19:09:54",2206,2047,4998.200195,10,,11.718772888183594,,24.399999618530273,41.20000076293945,23.299999237060547,-0.284102291
"8 Jun 2018, 20:14:46",2164,2100,5161.299805,4.800000190734863,,25.151281356811523,,26,41.099998474121094,20,-0.230562061
"22 Jun 2018, 14:31:58",537,536,1419.5,5,,3.116666555404663,,10.899999618530273,14.199999809265137,3.0999999046325684,0.007044734
"23 Jun 2018, 14:19:46",2870,2818,6146.200195,3.799999952316284,,12.936105728149414,,9.699999809265137,14,8.800000190734863,0
"1 Jul 2018, 21:01:20",2834,2760,6024.600098,4,,30.643489837646484,,10,20.899999618530273,12.399999618530273,-0.008299306
"4 Jul 2018, 18:03:03",2172,2125,5070.399902,4.5,,6.525757789611816,,9.699999809265137,14,6.699999809265137,0
"12 Jul 2018, 21:08:31",1444,1442,3036.699951171875,7,,7.569230556488037,,36.70000076293945,44.900001525878906,4.5,0.036223530769348145
"15 Jul 2018, 08:32:26",2986,2914,6408.5,5.199999809265137,,24.14976692199707,,9.5,18.5,7,0
"16 Jul 2018, 20:07:18",1688,1679,4092.600098,3.5,,17.19359016418457,,10.899999618530273,24,8.600000381469727,0
"31 Jul 2018, 19:52:05",2555,2460,6092.100098,5.599999904632568,,36.28666305541992,,11.600000381469727,43.099998474121094,6.199999809265137,0.013131760992109776
"3 Aug 2018, 17:43:23",1350,1350,3000,,,,,,,,0
"13 Aug 2018, 09:24:16",166,156,480.6000061035156,4.099999904632568,,0,,12.899999618530273,14,3,0.20807324349880219
"18 Aug 2018, 12:29:27",2722,1913,5629.5,6.900000095367432,,20.011171340942383,,9,16,12.800000190734863,-0.007105427
"21 Aug 2018, 19:44:55",3375,3239,7050.100098,3.5999999046325684,,32.019474029541016,,10,21,18.100000381469727,0.005673679
"26 Aug 2018, 08:31:20",3017,2938,7093.200195,6.800000190734863,,28.489219665527344,,9.5,18.5,6.800000190734863,0
"27 Aug 2018, 09:55:00",1062,1059,2038.0999755859375,3,,3.038461446762085,,10.899999618530273,14.100000381469727,3,-0.014719591
"2 Sep 2018, 08:36:15",3111,2843,6066.899902,6.300000190734863,,24.13650131225586,,9.5,18.5,6.400000095367432,0
"5 Sep 2018, 18:00:44",1840,1797,4118,3.5999999046325684,,21.88519859313965,,11,25.200000762939453,9.800000190734863,0
"22 Sep 2018, 10:58:15",2582,2160,5143.200195,3.200000047683716,,39.41439437866211,,29.899999618530273,67,17.600000381469727,0.05638513
"24 Sep 2018, 09:40:25",5326,4797,10115.09961,3.4000000953674316,,17.713003158569336,,25.200000762939453,32.79999923706055,17.5,-0.004943105
"28 Sep 2018, 11:33:02",4075,3837,8082.600098,4,,14.88690472,,26,32.599998474121094,9.199999809265137,-0.012372256
"1 Oct 2018, 10:11:28",3981,3718,8072.700195,3.5,,14.876274108886719,,26,32.70000076293945,9,-0.007432458
